"filename", "language", "Python", "Java", "comment", "blank", "total"
"f:\programSource\java_Git\1.py", "Python", 6, 0, 4, 3, 13
"f:\programSource\java_Git\Call.py", "Python", 94, 0, 13, 33, 140
"f:\programSource\java_Git\Code\Fib1.java", "Java", 0, 8, 0, 1, 9
"f:\programSource\java_Git\Code\Fibonacci3.java", "Java", 0, 6, 0, 1, 7
"f:\programSource\java_Git\Code\Fibonacci4.java", "Java", 0, 5, 0, 1, 6
"f:\programSource\java_Git\Code\_1ArithmeticSum.java", "Java", 0, 22, 0, 7, 29
"f:\programSource\java_Git\Code\_2PrintNumber.java", "Java", 0, 26, 0, 4, 30
"f:\programSource\java_Git\Code\_2_1AddNum.java", "Java", 0, 15, 0, 4, 19
"f:\programSource\java_Git\Code\_2_2AddNum.java", "Java", 0, 16, 0, 4, 20
"f:\programSource\java_Git\Code\_2_3AddNum.java", "Java", 0, 17, 0, 4, 21
"f:\programSource\java_Git\Code\_3PrimeJudge.java", "Java", 0, 21, 0, 5, 26
"f:\programSource\java_Git\Code\centralCore.java", "Java", 0, 45, 19, 4, 68
"f:\programSource\java_Git\Code\centralCoreOther.java", "Java", 0, 54, 0, 9, 63
"f:\programSource\java_Git\Code\centralCoreOther_Copy.java", "Java", 0, 54, 0, 10, 64
"f:\programSource\java_Git\Code\centralCore_Copy.java", "Java", 0, 47, 19, 5, 71
"f:\programSource\java_Git\Detect.py", "Python", 56, 0, 5, 11, 72
"f:\programSource\java_Git\HTTPserver.py", "Python", 28, 0, 6, 9, 43
"f:\programSource\java_Git\KGramHash.py", "Python", 39, 0, 2, 15, 56
"f:\programSource\java_Git\MainProcedure.py", "Python", 44, 0, 3, 16, 63
"f:\programSource\java_Git\ReadCode.py", "Python", 64, 0, 4, 23, 91
"f:\programSource\java_Git\Run.py", "Python", 10, 0, 0, 4, 14
"f:\programSource\java_Git\TCPserver.py", "Python", 30, 0, 9, 11, 50
"f:\programSource\java_Git\UDPserver.py", "Python", 18, 0, 5, 6, 29
"f:\programSource\java_Git\WebServiceserver.py", "Python", 16, 0, 2, 7, 25
"Total", "-", 405, 336, 91, 197, 1029